basin,product,peak_timing,missed_peaks,mape_peak
02472500,CHIRPS,0.5352112676056338,0.4788732394366197,38.90826382091837
02472500,MSWEP,0.4788732394366197,0.5352112676056338,44.55485304482728
02479155,CARAVAN,0.9305555555555556,0.625,69.05782443110421
02479155,CHIRPS,0.5555555555555556,0.4722222222222222,42.43187191246112
02479155,MSWEP,0.6527777777777778,0.4027777777777778,42.09666733837067
02479560,CARAVAN,0.6571428571428571,0.6338028169014085,61.36503058096998
02479560,CHIRPS,0.5428571428571428,0.4507042253521127,39.10443587513271
02479560,MSWEP,0.3142857142857143,0.29577464788732394,28.033861273340428
03170000,CARAVAN,0.8028169014084507,0.7638888888888888,63.19264342776878
03170000,CHIRPS,0.5352112676056338,0.5416666666666666,38.052265835114994
03170000,MSWEP,0.38028169014084506,0.4722222222222222,35.23971043620882
03281500,CARAVAN,0.7121212121212122,0.582089552238806,58.78938394191206
03281500,CHIRPS,0.4393939393939394,0.373134328358209,39.9034297487366
03281500,MSWEP,0.5303030303030303,0.3582089552238806,36.633212911549236
03285000,CARAVAN,0.8840579710144928,0.6285714285714286,63.54481171324235
03285000,CHIRPS,0.5362318840579711,0.4,41.373029572109246
03285000,MSWEP,0.463768115942029,0.3,35.40435948741363
03439000,CARAVAN,0.9705882352941176,0.5735294117647058,73.45145741279305
03439000,CHIRPS,0.6029411764705882,0.5882352941176471,43.324218517354154
03439000,MSWEP,0.4852941176470588,0.36764705882352944,43.86807509373092
03460000,CARAVAN,0.6417910447761194,0.5588235294117647,58.9718315603136
03460000,CHIRPS,0.4626865671641791,0.5147058823529411,40.29559387163483
03460000,MSWEP,0.3283582089552239,0.5,33.29868369363179
03498500,CARAVAN,0.5492957746478874,0.704225352112676,48.23542132566118
03498500,CHIRPS,0.39436619718309857,0.4225352112676056,39.60761303064938
03498500,MSWEP,0.28169014084507044,0.49295774647887325,28.102749658869346
03574500,CARAVAN,0.4,0.7464788732394366,50.934808439618664
03574500,CHIRPS,0.18571428571428572,0.4225352112676056,28.973286946747002
03574500,MSWEP,0.2571428571428571,0.4225352112676056,28.962020538086808
03604000,CARAVAN,0.6142857142857143,0.6388888888888888,58.988069152950494
03604000,CHIRPS,0.35714285714285715,0.4861111111111111,36.56134611815408
03604000,MSWEP,0.35714285714285715,0.4166666666666667,36.586927275579455
05593575,CARAVAN,0.6619718309859155,0.6805555555555556,63.16844086411727
05593575,CHIRPS,0.323943661971831,0.4166666666666667,37.06322109958372
05593575,MSWEP,0.19718309859154928,0.4166666666666667,28.575662062672958
05595730,CARAVAN,0.8840579710144928,0.7857142857142857,67.50425870140279
05595730,CHIRPS,0.4057971014492754,0.4714285714285714,38.08493752300397
05595730,MSWEP,0.2753623188405797,0.5,33.62924218643723
06917000,CARAVAN,0.8507462686567164,0.5428571428571428,61.81220692530231
06917000,CHIRPS,0.3880597014925373,0.5,39.51148105963991
06917000,MSWEP,0.2835820895522388,0.24285714285714285,31.92543288253424
06918460,CARAVAN,0.7222222222222222,0.6388888888888888,59.60356211423687
06918460,CHIRPS,0.2361111111111111,0.4722222222222222,35.07191548170246
06918460,MSWEP,0.3611111111111111,0.4166666666666667,38.920824528559805
06919500,CARAVAN,0.7971014492753623,0.6571428571428571,69.34375182361858
06919500,CHIRPS,0.4782608695652174,0.6285714285714286,46.229941635280255
06919500,MSWEP,0.5797101449275363,0.42857142857142855,46.64017800738848
06921070,CARAVAN,0.8513513513513513,0.7066666666666667,61.76426743011202
06921070,CHIRPS,0.36486486486486486,0.49333333333333335,41.33012128640757
06921070,MSWEP,0.3783783783783784,0.4666666666666667,38.2728001347134
06921200,CARAVAN,0.9,0.6527777777777778,61.89412506851427
06921200,CHIRPS,0.37142857142857144,0.4305555555555556,37.596304155443384
06921200,MSWEP,0.37142857142857144,0.3888888888888889,35.67214937188001
07057500,CARAVAN,0.746268656716418,0.6323529411764706,62.05620814749615
07057500,CHIRPS,0.6268656716417911,0.5,42.52095057588552
07057500,MSWEP,0.3880597014925373,0.47058823529411764,38.51740530541979
07060710,CARAVAN,0.5882352941176471,0.5072463768115942,57.41541262928512
07060710,CHIRPS,0.38235294117647056,0.3188405797101449,33.80460161115047
07060710,MSWEP,0.4117647058823529,0.391304347826087,38.44962296977559
07066000,CARAVAN,0.7285714285714285,0.6285714285714286,61.126022350581636
07066000,CHIRPS,0.5,0.4857142857142857,45.39994715865173
07066000,MSWEP,0.4,0.4142857142857143,41.63791051673347
07145700,CARAVAN,0.6521739130434783,0.6376811594202898,60.337708817450086
07145700,CHIRPS,0.34782608695652173,0.4492753623188406,40.92067182963516
07145700,MSWEP,0.30434782608695654,0.34782608695652173,30.582392300321764
07184000,CARAVAN,0.746268656716418,0.43661971830985913,57.41889847794002
07184000,CHIRPS,0.29850746268656714,0.4507042253521127,37.770270891294544
07184000,MSWEP,0.417910447761194,0.36619718309859156,39.55785579052169
07195800,CARAVAN,0.5571428571428572,0.6197183098591549,52.9882810403166
07195800,CHIRPS,0.37142857142857144,0.4084507042253521,31.878617752438952
07195800,MSWEP,0.22857142857142856,0.4507042253521127,30.214836493758217
07197000,CARAVAN,0.5217391304347826,0.6231884057971014,55.46953925174476
07197000,CHIRPS,0.14492753623188406,0.4492753623188406,25.547712579611126
07197000,MSWEP,0.2608695652173913,0.4492753623188406,33.382704987705814
07261000,CARAVAN,0.696969696969697,0.5522388059701493,62.402567283655365
07261000,CHIRPS,0.5303030303030303,0.44776119402985076,40.54087479767639
07261000,MSWEP,0.3484848484848485,0.373134328358209,35.52442331869798
07263295,CARAVAN,0.6567164179104478,0.6268656716417911,58.67138278800326
07263295,CHIRPS,0.26865671641791045,0.43283582089552236,37.37841492498108
07263295,MSWEP,0.26865671641791045,0.31343283582089554,30.954935161469656
07291000,CARAVAN,0.6956521739130435,0.6857142857142857,65.76382172849256
07291000,CHIRPS,0.463768115942029,0.42857142857142855,40.46072435710919
